X,,gbifID,occurrenceID,species,decimallongitude,decimallatitude,homepolygon,homepolygon.1
275,1800,2305804754,KR270510,Byrsonima crassifolia,-72695,2502,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
300,2095,2307335020,KR270508,Calea montana,-72705,2513,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
303,2098,2305458815,KR082842,Calliandra vaupesiana,-72685,2.5,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
304,2099,2304258766,KR270507,Calliandra vaupesiana,-72685,2.5,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
306,2118,2305783267,KR270511,Calophyllum brasiliense,-72655,2499,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
1544,5540,2306067034,KY450672,Goudaea chrysostachys,-72.61,2.51,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
2342,26294,2305928984,KR082843,Mauritia carana,-72685,2.5,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
2701,28077,2308324194,EU872916,Pagamea coriacea,-72.63,0.53,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
2717,28093,2306635397,EU872774,Pagamea coriacea,-72.63,0.53,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
3188,28646,2310913628,EU872833,Pagamea thyrsiflora,-72.63,0.51,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
3196,28654,2307078785,EU872898,Pagamea thyrsiflora,-72.63,0.51,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
3577,29447,2309354291,KR270489,Salpinga secunda,-70172,203,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
3578,29448,2304368167,KR082839,Salpinga secunda,-70172,203,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
3620,29581,2304913137,KR270509,Senefelderopsis chiribiquetensis,-72705,2513,Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests
6,1127,2308764969,MF786212,Abolboda grandis,-59.49,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
7,1128,2305879231,MF786040,Abolboda grandis,-59.49,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
50,1277,2310958406,MF786220,Amasonia campestris,-59.49,5.32,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
51,1278,2307032410,MF785308,Amasonia campestris,-59.49,5.32,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
52,1279,2305302253,MF786045,Amasonia campestris,-59.49,5.32,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
66,1314,2310315515,MF786426,Ananas comosus,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
67,1315,2309473783,MF786192,Ananas comosus,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
139,1482,2309443947,MF786350,Becquerelia cymosa,-60.72,5.61,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
140,1483,2308324159,MF786142,Becquerelia cymosa,-60.72,5.61,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
154,1500,2306667281,MF786152,Blepharandra hypoleuca,-60.23,5.82,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
155,1501,2305887626,MF786364,Blepharandra hypoleuca,-60.23,5.82,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
165,1515,2310582940,MF785417,Bonnetia sessilis,-60.27,5.77,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
166,1516,2308530844,MF786382,Bonnetia sessilis,-60.27,5.77,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
272,1795,2311110782,MF786098,Burmannia bicolor,-60.78,5.56,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
273,1796,2308738013,MF785364,Burmannia bicolor,-60.78,5.56,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
274,1797,2305235860,MF786294,Burmannia bicolor,-60.78,5.56,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
347,2189,2307100582,MF786156,Cassytha filiformis,-60.23,5.82,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
348,2190,2304323443,MF786373,Cassytha filiformis,-60.23,5.82,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
349,2191,2306746370,MF786322,Catopsis berteroniana,-60.68,5.62,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
350,2192,2306712531,MF786117,Catopsis berteroniana,-60.68,5.62,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
358,2211,2310138203,MF786429,Cavendishia callista,-60.19,5.85,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
359,2212,2309806209,MF786194,Cavendishia callista,-60.19,5.85,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
360,2213,2308615095,MF785445,Cavendishia callista,-60.19,5.85,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
382,2242,2308523227,MF785408,Chaetocarpus echinocarpus,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
383,2243,2304967078,MF786371,Chaetocarpus echinocarpus,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
615,3564,2310063151,MF786357,Cochlidium serrulatum,-60.84,5.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
847,3953,2310016830,MF786427,Cyathea macrocarpa,-60.24,5.81,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
848,3954,2308403595,MF785444,Cyathea macrocarpa,-60.24,5.81,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
853,3959,2309865969,MF786359,Cyclodium inerme,-60.72,5.61,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
878,4013,2305027178,MF786320,Dendrobangia boliviana,-60.86,5.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
905,4050,2310970343,MF785403,Didymochlamys connellii,-60.19,5.85,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
906,4051,2306132441,MF786365,Didymochlamys connellii,-60.19,5.85,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
907,4052,2307696315,MF785375,Digomphia laurifolia,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
908,4053,2306762525,MF786310,Digomphia laurifolia,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
909,4054,2306728239,MF786111,Digomphia laurifolia,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
910,4055,2311202517,MF786267,Dimorphandra cuprea,-60.52,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
911,4056,2307524150,MF786443,Dimorphandra macrostachya,-60.52,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
912,4057,2305851573,MF786205,Dimorphandra macrostachya,-60.52,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
915,4063,2310280139,MF786436,Diplacrum guianense,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
916,4064,2308442891,MF785450,Diplacrum guianense,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
922,4301,2308140958,MF786132,Doryopteris concolor,-60.72,5.61,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
923,4302,2307728459,MF786338,Doryopteris concolor,-60.72,5.61,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
929,4416,2308932462,MF785371,Drosera kaieteurensis,-60.78,5.56,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
933,4422,2305657318,MF786251,Duguetia pycnastera,-59.41,5.26,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
934,4423,2304626450,MF786071,Duguetia pycnastera,-59.41,5.26,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
940,4429,2310534905,MF786191,Echinolaena inflexa,-60.8,5.57,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
941,4430,2308944924,MF785443,Echinolaena inflexa,-60.8,5.57,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
942,4431,2308814523,MF786425,Echinolaena inflexa,-60.8,5.57,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
971,4462,2304716551,MF786408,Epidryos guayanensis,-60.57,5.21,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
1216,5089,2309063812,MF785405,Euphronia guianensis,-60.78,5.56,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
1217,5090,2307233990,MF786155,Euphronia guianensis,-60.78,5.56,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
1218,5091,2305553253,MF786368,Euphronia guianensis,-60.78,5.56,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
1605,5683,2307342670,MF785392,Gymnosiphon divaricatus,-60.86,5.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
1610,5691,2311046764,MF786438,Harperocallis schomburgkiana,-60.23,5.82,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
1628,5709,2309246286,MF786053,Henriettea succosa,-59.48,5.18,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
1629,5710,2308306256,MF785318,Henriettea succosa,-59.48,5.18,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
1630,5711,2305415607,MF786230,Henriettea succosa,-59.48,5.18,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
1642,5726,2311196399,MF786279,Humiria balsamifera,-59.48,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
1853,6471,2311044179,MF786054,Ischnosiphon arouma,-59.32,5.3,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
1854,6472,2308374718,MF785319,Ischnosiphon arouma,-59.32,5.3,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2179,6889,2310168749,MF786193,Jacqueshuberia brevipes,-60.21,5.83,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2180,6890,2307572139,MF786428,Jacqueshuberia brevipes,-60.21,5.83,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2181,6894,2309888395,MF786302,Jasarum steyermarkii,-60.85,5.48,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2182,6895,2306801505,MF786105,Jasarum steyermarkii,-60.85,5.48,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2186,6943,2308115195,MF786211,Lagenocarpus amazonicus,-60.52,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2187,6944,2309585355,MF785382,Lagenocarpus rigidus,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2188,6945,2307594329,MF786319,Lagenocarpus rigidus,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2198,6962,2310201964,MF786276,Lecythis zabucajo,-59.78,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2217,6987,2308832243,MF786417,Licaria sclerophylla,-60.23,5.82,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2218,6988,2305614971,MF786122,Lindmania guianensis,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2219,6989,2304786613,MF786328,Lindmania guianensis,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2252,7039,2309539444,MF786229,Mabea rubicunda,-59.49,5.32,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2253,7040,2307211520,MF785317,Mabea rubicunda,-59.49,5.32,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2254,7041,2304542622,MF785309,Macairea pachyphylla,-59.49,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2266,7057,2311005657,MF786387,Macrocentrum droseroides,-59.95,5.34,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2267,7058,2304738396,MF785422,Macrocentrum droseroides,-59.95,5.34,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2268,7059,2304542638,MF786164,Macrocentrum droseroides,-59.95,5.34,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2272,7063,2308353721,MF786062,Macrocentrum vestitum,-59.49,5.32,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2273,7064,2306006442,MF786240,Macrocentrum vestitum,-59.49,5.32,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2283,7074,2310554361,MF786433,Maguireanthus ayangannae,-59.92,5.33,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2284,7075,2309989556,MF785448,Maguireanthus ayangannae,-59.92,5.33,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2285,7076,2309196476,MF786197,Maguireanthus ayangannae,-59.92,5.33,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2290,7081,2307529479,MF785306,Malanea hypoleuca,-59.32,5.3,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2291,7082,2305921677,MF786041,Malanea hypoleuca,-59.32,5.3,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2340,26291,2310629391,MF786257,Matayba peruviana,-59.82,5.28,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2341,26292,2309967589,MF785339,Matayba peruviana,-59.82,5.28,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2351,26306,2311175604,MF786099,Mickelia nicotianifolia,-60.72,5.61,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2377,26341,2309324743,MF786395,Micrandra spruceana,-60.24,5.81,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2378,26346,2310271243,MF786348,Microgramma baldwinii,-60.84,5.52,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
