"gbifID";"occurrenceID";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"1";2311192680;"LT630631";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"2";2311159999;"KU160066";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"3";2311141094;"KU159985";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"4";2311127662;"LT630681";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"5";2311089231;"KU160056";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"6";2311084708;"EU872919";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"7";2311084081;"LT630643";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"8";2311071953;"LT630640";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"9";2311068897;"LT630646";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"10";2311067053;"KU160000";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"11";2311045474;"KU160048";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"12";2310982951;"LT630636";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"13";2310962697;"KU160015";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"14";2310959860;"KP878504";"Plantae";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Chlorellaceae";"Chlorella";""
"15";2310932397;"EU872666";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
