X,X.1,gbifID,occurrenceID,species,decimallongitude,decimallatitude,homepolygon,homepolygon.1,
248,678,3635,2308877249,JQ710547,Cordia alliodora,-59.37,2.19,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
249,679,3637,2308387647,JQ710511,Cordia alliodora,-53.2,3.58,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
250,682,3641,2307994119,JQ710569,Cordia alliodora,-53.2,3.58,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
251,684,3644,2307862168,JQ710550,Cordia alliodora,-60.2,6.97,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
252,687,3654,2305501750,JQ710540,Cordia alliodora,-55,4.95,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
253,691,3661,2304488101,JQ710522,Cordia alliodora,-58.95,4.4,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
575,690,3660,2304543676,JQ710572,Cordia alliodora,-64,7,Tropical & Subtropical Moist Broadleaf Forests,Guianan piedmont moist forests
576,692,3662,2304458875,JQ710521,Cordia alliodora,-64,7,Tropical & Subtropical Moist Broadleaf Forests,Guianan piedmont moist forests
1696,681,3640,2308058754,JQ710557,Cordia alliodora,-76,-6.58,Tropical & Subtropical Moist Broadleaf Forests,Ucayali moist forests
1697,683,3642,2307976919,JQ710544,Cordia alliodora,-76,-6.58,Tropical & Subtropical Moist Broadleaf Forests,Ucayali moist forests
601,854,3960,2310720830,LT630625,Cyperus articulatus,-73.85,-10.67,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
602,855,3961,2310198412,LT630644,Cyperus articulatus,-73.85,-10.67,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
603,856,3962,2309781827,LT630623,Cyperus articulatus,-73.85,-10.67,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
604,857,3963,2309693182,LT630682,Cyperus articulatus,-73.85,-10.67,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
605,858,3964,2309476369,LT630680,Cyperus articulatus,-73.85,-10.67,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
606,859,3965,2308544756,LT630642,Cyperus articulatus,-73.85,-10.67,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
607,860,3966,2305353061,LT630663,Cyperus articulatus,-73.85,-10.67,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
608,861,3967,2304929515,LT630661,Cyperus articulatus,-73.85,-10.67,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
609,1251,5136,2311023752,KJ734332,Ficus insipida,-73.17,-4.05,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
610,1255,5140,2310958917,KJ734323,Ficus insipida,-72.24,-3.62,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
611,1259,5144,2310881981,KJ734498,Ficus insipida,-72.24,-3.62,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
612,1260,5145,2310852211,KJ734328,Ficus insipida,-72.24,-3.62,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
613,1265,5150,2310791268,KJ734327,Ficus insipida,-72.24,-3.62,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
614,1272,5157,2310705970,KJ734320,Ficus insipida,-72.24,-3.62,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
615,1277,5162,2310650938,KJ734335,Ficus insipida,-73.16,-4.05,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
616,1279,5164,2310636366,KJ734321,Ficus insipida,-72.24,-3.61,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
617,1283,5168,2310452195,KJ734330,Ficus insipida,-72.24,-3.62,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
618,1286,5171,2310425292,KJ734372,Ficus insipida,-75.06,-8.83,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
